Title,Price,Location/Date,URL,Description
Tablet APPLE iPad Air 11 M3 (2025) 128GB Wi-Fi Gwiezdna Szarość,2 200 zł,"Gdańsk, Ujeścisko - Łostowice - Odświeżono dnia 11 sierpnia 2025",https://www.olx.pl/d/oferta/tablet-apple-ipad-air-11-m3-2025-128gb-wi-fi-gwiezdna-szarosc-CID99-ID16XUK2.html,"Witam,

Sprzedam kilka razy włączony Tablet APPLE iPad Air 11 M3 (2025) 128GB Wi-Fi Gwiezdna Szarość.
Tablet nie spełnia moich oczekiwań, to jedyny powód sprzedaży. Włączony dosłownie kilka razy. Naklejona folia PAPERLIKE. Zakupiony w czerwcu 2025.
Posiadam paragon. Gwaranacja producenta.

W zestawie to co w oryginale:
Pudełko
Kabelek usb
Instrukcje

Preferowany odbiór osobisty w Gdańsku"
Laptop i Tablet 2w1 Dell Latitude 7390 i5 8GB/256 Dotykowy Win11 FV23,1 249 zł,"Gdańsk, Wrzeszcz - Odświeżono dnia 08 sierpnia 2025",https://www.olx.pl/d/oferta/laptop-i-tablet-2w1-dell-latitude-7390-i5-8gb-256-dotykowy-win11-fv23-CID99-ID15cDf7.html,"Telefon: 500 /|\ 115 /|\ 125
Gdańsk, ul. Adama Mickiewicza 18
Poniedziałek-piątek: 10-18, Sobota: 10-14
Płatność kartą, blikiem, gotówką, przelewem, raty 0%

Laptop Poleasingowy:
Dell Latitude 7390 2w1 laptop i tablet
procesor - intel i5-8350u
pamięć - 8gb ddr4
dysk - 256gb ssd m.2
grafika - intel uhd 620
matryca - 13"", matowa, dotykowa, ips
rozdzielczość - 1920x1080
hdmi, usb 3.0, usb-c, czytnik sd
mikrofon, głośniki, kamera
BT, WiFi,
podświetlana klawiatura
bateria - do 6 godzin.
windows 11 pro
gwarancja - 12 msc. gratis

Zasilacz w zestawie.

Wystawiamy faktury VAT na osoby prywatne oraz firmy.
Cena zawiera podatek VAT 23%.

Zainstalowane na laptopie:
* System Windows + sterowniki
* Pakiet biurowy do odtwarzania plików Word, Excel i PowerPoint
* Program do odtwarzania filmów i muzyki
* Program do nagrywania płyt (jeżeli w laptopie jest nagrywarka)
* Program do otwierania zdjęć
* Program do edycji zdjęć
* Przeglądarka z blokadami reklam oraz blokadą złośliwych skryptów
* Program antywirusowy (nieograniczony czas użytkowania)

Możliwa wysyłka kurierem - paczka ubezpieczona.
Koszt:
Płatność przelewem - Gratis!
Płatność za pobraniem - Gratis!

Lub zamów poprzez przesyłkę OLX - wysyłka inpost, płatność poprzez OLX.

W środku nasze laptopy są w bardzo dobrym, często idealnym stanie, co widać na zdjęciach.
System jest świeżo zainstalowany wraz z wszystkimi sterownikami.
Na sprzęcie nie ma haseł, blokad, itp.

*Serwis laptopów i komputerów stacjonarnych*
*Diagnostyka, konserwacja, przyśpieszanie laptopów i komputerów stacjonarnych*
*Sprzedaż detaliczna i hurtowa laptopów poleasingowych (serie biznesowe Dell, HP, Lenovo)*
*Sprzedaż detaliczna i hurtowa telefonów poleasingowych (Apple, Samsung i Sony)*
*Profesjonalne doradztwo sprzętowe, wyposażenie firm w laptopy i telefony niezbędne do pracy*

W przypadku pytań lub wątpliwości, zapraszam do kontaktu.

Telefon: 500 /|\ 115 /|\ 125
Gdańsk, ul. Adama Mickiewicza 18
Poniedziałek-piątek: 10-18, Sobota: 10-14
Płatność kartą, blikiem, gotówką, przelewem, raty"
iPad Pro 2020 4 gen 128GB 12'9 cali tablet,"2 200 zł
do negocjacji","Gdańsk, Osowa - Dzisiaj o 17:01",https://www.olx.pl/d/oferta/ipad-pro-2020-4-gen-128gb-129-cali-tablet-CID99-ID170pPE.html,"Sprzedam używany tablet iPad Pro 2020 4 gen 128GB o przekątnej ekranu 12.9 cala wraz z klawiaturą i rysikiem Logitech Doskonały do pracy i rozrywki, idealny dla osób szukających wydajnego tabletu do nauki czy rysowania.
Cena 2200 za cały komplet z klawiaturą i rysikiem.
Jedyna wada to głębsza rysa
Tylko odbiór osobisty, możemy się spotkać w miejscu publicznym :)"
Ipad tablet 1822,150 zł,"Gdańsk, Olszynka - Dzisiaj o 13:19",https://www.olx.pl/d/oferta/ipad-tablet-1822-CID99-ID170bw3.html,Sprzedam tablet mało używany stan dobry beż kabla naładowany przed konfiguracją
Tablet samsung galaxy tab a9+ 64gb/4,"450 zł
do negocjacji","Gdańsk, Przymorze Wielkie - 11 sierpnia 2025",https://www.olx.pl/d/oferta/tablet-samsung-galaxy-tab-a9-64gb-4-CID99-ID16Zmtm.html,"Sprzedam tablet Samsung Galaxy Tab A9+. Używany, w bardzo dobrym stanie można powiedzieć że prawie idealny kupiony został w październiku i używany był 2 tygodnie , użytkowany przez osobę dorosłą niestety zgubiony paragon
Odbiór osobisty"
Tablet Lenovo Tab P11 with Precision Pen 2 (2023),"499 zł
do negocjacji","Gdańsk, Nowy Port - Dzisiaj o 14:04",https://www.olx.pl/d/oferta/tablet-lenovo-tab-p11-with-precision-pen-2-2023-CID99-ID170ekL.html,"Tablet Lenovo Tab P11 with Precision Pen 2 (2023).

Bardzo mało używany, w stanie bardzo dobrym. Na ekran naklejona wysokiej jakości folia 3mk Paper Feeling. Nie tylko zabezpiecza, ale i ułatwia czytanie oraz utrzymanie ekranu w czystości.

Sprzęt w oryginalnym opakowaniu, w praktycznym i solidnym etui.

Dostałem go jako nagrodę w pracy, pracuję obecnie na innym tablecie, stąd sprzedaż.

Tablet bardzo solidny, przyjazny w użytkowaniu o dobrych parametrach (128 GB pamięci + karta SD).

Zachęcam do kontaktu i kupna!"
Tablet Samsung Galaxy tab a10,350 zł,"Gdańsk, Orunia - Św. Wojciech - Lipce - 14 lipca 2025",https://www.olx.pl/d/oferta/tablet-samsung-galaxy-tab-a10-CID99-ID16CdN7.html,"Tablet Samsung Galaxy Tab A10 używany. Doskonały sprzęt do pracy i rozrywki. Wyposażony w nowoczesne funkcje, jakie oferuje system Android. Wyświetlacz o dobrej jakości obrazu. Idealny do przeglądania internetu, odtwarzania filmów oraz korzystania z aplikacji.
Sprzęt jest używany ale w bardzo dobrym stanie. Kolor Złoty. Tablet m teraz ustawienia fabryczne. Wszystkie dane i parametry są w opisie na zdjęciach. Dołączam do tabletu szybę ochronną nieużywaną.
Ekran bez żadnej rysy jednak nie udało mi się tego uchwycić na zdjęciu.
Możliwy odbiór osobisty lub wysyłka tylko przez paczkomat InPost. Nie wysyłam za pobraniem.
Nowy kosztował 699 zł. Był bardzo mało używany, gdyż miałam jeszcze laptop w użyciu :)"
"Tablet SAMSUNG Galaxy Tab S8 11"" 8/128 GB Wi-Fi",1 199 zł,"Gdańsk, Przymorze Wielkie - 05 sierpnia 2025",https://www.olx.pl/d/oferta/tablet-samsung-galaxy-tab-s8-11-8-128-gb-wi-fi-CID99-ID16Umqc.html,"Przedmiotem sprzedaży jest:

Tablet SAMSUNG Galaxy Tab S8 11"" 8/128 GB Wi-Fi Grafitowy + Rysik S Pen

Odkryj moc możliwości z Galaxy Tab S8! Idealny do pracy i zabawy, ten tablet łączy doskonałą wydajność z eleganckim designem.

Specyfikacja:

Wyświetlacz: 11"" TFT, 2560 x 1600px, 120 Hz
Pamięć: 128 GB (ROM), 8 GB (RAM)
Procesor: Qualcomm SM8450, 8-rdzeniowy
Przedni aparat: 12 Mpix, tylny: 13 Mpix
Komunikacja: Wi-Fi 802.11 a/b/g/n/ac/ax, Bluetooth 5.2
System: Android 12 (aktualizacja do 14)
Nie przegap okazji! Spraw, aby kreatywność i produktywność zaszły na nowy poziom!

Stan: Używany

Tablet w pełni sprawny w dobrej kondycji niestety posiada kilka rysek widocznych na zdjęciach nie przeszkadzają w użytkowaniu ale no sa widoczne

W zestawie rysik i oryginalne opakowanie

Zapraszamy do zakupu. Polecamy inne nasze produkty.

Możesz też odwiedzić nas w punkcie sprzedaży:

Gdańsk, ul. Szczecińska 23

Tylko 100% sprawdzony towar! Na każdy zakup dajemy gwarancję!"
Tablet graficzny one by Wacom s,"50 zł
do negocjacji","Gdańsk, Chełm z dzielnicą Gdańsk Południe - 28 lipca 2025",https://www.olx.pl/d/oferta/tablet-graficzny-one-by-wacom-s-CID99-ID16qbYW.html,"Tablet graficzny one by Wacom s, używany kilka razy. Posiada rysik i kabel."
"Tablet SAMSUNG Galaxy Tab A8 10.5"" 4/64 GB Wi-Fi",330 zł,"Gdańsk, Chełm z dzielnicą Gdańsk Południe - 25 lipca 2025",https://www.olx.pl/d/oferta/tablet-samsung-galaxy-tab-a8-10-5-4-64-gb-wi-fi-CID99-ID16L1Fj.html,"Sprzedam używany, sprawny tablet.

Wyświetlacz:10.5"", 1920 x 1200px, TFT.

Pamięć wbudowana [GB]:64

Wielkość pamięci RAM [GB]:4

Procesor:UNISOC T618, 8-rdzeniowy

Wersja systemu operacyjnego: Android 14

Komunikacja:Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 5.2,

Moduł GPS, Złącza: USB, Złącze słuchawkowe.

Obudowa ma ślady używania i wgniecenia, nie mające wpływu na użytkowanie. Wyświetlacz i dotyk w bardzo dobrym stanie, żadnej rysy. Załączone zdjęcia przedstawiają stan fizyczny tabletu oraz jego parametry. Sprzedaję sam tablet, opakowanie zastępcze."
